entity,author,ownership,color,w,h,x,y
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/GetCommitCountFromBranchCallback.java,Thierry Lacour,0.84,#000000,125.99999606609344,150.0,0.0,0.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/GetCommitCountFromBranchCallback.java,Simon Groenborg,0.12,#000000,24.000003933906555,112.49997904524551,125.99999606609344,0.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/GetCommitCountFromBranchCallback.java,Claus Schneider(Praqma),0.04,#000000,23.999986052523116,37.50002095475449,125.99999606609344,112.49997904524551
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GetCommitCountFromBranchCallbackIT.java,Thierry Lacour,0.7721519,#000000,115.82278311252594,150.0,0.0,0.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GetCommitCountFromBranchCallbackIT.java,Simon Groenborg,0.12658228,#000000,34.17721688747406,83.33333006335646,115.82278311252594,0.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GetCommitCountFromBranchCallbackIT.java,Claus Schneider(Praqma),0.101265825,#000000,34.17721437290323,66.66666993664354,115.82278311252594,83.33333006335646
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/AccumulatedCommitMessageIT.java,Bue Petersen,0.96160877,#000000,144.24131512641907,150.0,0.0,0.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/AccumulatedCommitMessageIT.java,Thierry Lacour,0.038391225,#000000,5.758684873580933,149.999970889523,144.24131512641907,0.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/IntegrationStrategyDescriptor.java,Thierry Lacour,0.44827586,#000000,67.24137961864471,150.0,0.0,0.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/IntegrationStrategyDescriptor.java,Simon Groenborg,0.3448276,#000000,82.75862038135529,93.75000202562661,67.24137961864471,0.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/IntegrationStrategyDescriptor.java,Andrius Ordojan,0.20689656,#000000,82.75862634181999,56.249997974373386,67.24137961864471,93.75000202562661
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/MatrixProjectCompatibilityTestIT.java,Simon Grønborg,0.8333333,#000000,124.99999701976776,150.0,0.0,0.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/MatrixProjectCompatibilityTestIT.java,Simon Groenborg,0.16666667,#000000,25.00000298023224,149.99998658895652,124.99999701976776,0.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/CommitFailedException.java,Simon Groenborg,0.5,#000000,75.0,150.0,0.0,0.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/CommitFailedException.java,Thierry Lacour,0.425,#000000,75.0,127.50000357627869,75.0,0.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/CommitFailedException.java,Claus Schneider(Praqma),0.075,#000000,75.00001490116357,22.499996423721313,75.0,127.50000357627869
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/TestCommit.java,Thierry Lacour,1.0,#000000,150.0,150.0,0.0,0.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/TestUtilsFactory.java,Bue Petersen,0.5462963,#000000,81.94444477558136,150.0,0.0,0.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/TestUtilsFactory.java,Thierry Lacour,0.23703703,#000000,68.05555522441864,78.36734593336604,81.94444477558136,0.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/TestUtilsFactory.java,Andrius Ordojan,0.075925924,#000000,23.848527039064678,71.63265406663396,81.94444477558136,78.36734593336604
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/TestUtilsFactory.java,Claus Schneider(Praqma),0.055555556,#000000,44.20702818535396,28.276047059127077,105.79297181464604,78.36734593336604
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/TestUtilsFactory.java,Simon Groenborg,0.055555556,#000000,28.830669547015,43.35660700750688,105.79297181464604,106.64339299249312
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/TestUtilsFactory.java,Simon Grønborg,0.02962963,#000000,15.376358638338964,43.35660155634422,134.62364136166104,106.64339299249312
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GitSubmoduleInteractionIT.java,Bue Petersen,1.0,#000000,150.0,150.0,0.0,0.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/BranchDeletionFailedException.java,Thierry Lacour,1.0,#000000,150.0,150.0,0.0,0.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/unit/DummySCM.java,Ronni Elken Lindsgaard,0.6875,#000000,103.125,150.0,0.0,0.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/unit/DummySCM.java,Simon Groenborg,0.09821428,#000000,46.875,47.14285612106323,103.125,0.0
