entity,added,deleted,net,revisions
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/unit/PretestedIntegrationActionTest.java,170,170,0,18
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/PipAsGitExtensionIT.java,161,28,133,9
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/mercurial/MercurialComparator.java,155,156,-1,14
pretested-integration-plugin/src/test/resources/commitMessagesWithDoubleQuotes_windows.bat.log,147,0,147,1
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/unit/DummySCM.java,143,67,76,19
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/EnvVarsIT.java,135,3,132,4
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationJobDslExtension.java,135,54,81,9
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestUtils.java,130,123,7,9
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationJobDslExtensionTest.java,128,128,0,9
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/unit/AbstractSCMBridgeTest.java,126,38,88,9
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/DoNotAllowMasterBranchAsReadyBranchIT.java,124,123,1,7
pretested-integration-plugin/check_for_changelog.rb,120,9,111,2
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/IntegrationStrategy.java,118,78,40,16
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/JobDSLIT.java,118,3,115,3
pretested-integration-plugin/ci/seed.groovy,110,11,99,3
pretested-integration-plugin/src/test/resources/EndUserTesting/Jenkinsfile,108,76,32,9
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/MatrixProjectBuilder.java,106,0,106,1
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/FreeStyleProjectFactory.java,105,105,0,4
