date,total,n,mean,median,sd,max,comments,ratio,revision
2017-09-28,121.0,57,2.12,2.0,1.15,5,3,2.12,a2b13e4
2017-09-28,122.0,58,2.1,2.0,1.15,5,2,2.1,3afcef5
2017-09-28,129.0,61,2.11,2.0,1.14,5,0,2.11,4df0ae3
2017-09-29,163.0,76,2.14,2.0,1.09,5,0,2.14,f6e31b4
2017-09-29,209.0,90,2.32,2.0,1.2,5,1,2.32,d8be0fd
2017-09-29,247.0,96,2.57,3.0,1.56,7,0,2.57,76111f2
2017-10-02,246.0,94,2.62,3.0,1.55,7,0,2.62,fbab4f1
2017-10-04,244.0,93,2.62,3.0,1.56,7,0,2.62,893ef0d
2018-01-17,244.0,93,2.62,3.0,1.56,7,0,2.62,8ceacf4
