date,total,n,mean,median,sd,max,comments,ratio,revision
2015-10-27,11.0,7,1.57,1.0,0.79,3,7,1.57,b91ba9b
2017-09-26,11.0,7,1.57,1.0,0.79,3,7,1.57,4d341d8
2017-10-03,11.0,7,1.57,1.0,0.79,3,7,1.57,aae2112
