date,total,n,mean,median,sd,max,comments,ratio,revision
2015-10-23,204.0,82,2.49,3.0,1.22,5,41,2.49,3f74109
2017-09-27,206.0,83,2.48,3.0,1.21,5,41,2.48,3277132
2017-12-04,23.0,23,1.0,1.0,0.0,1,105,1.0,7fc0484
2018-01-12,199.0,76,2.62,3.0,1.19,5,34,2.62,70ae219
2018-01-17,199.0,76,2.62,3.0,1.19,5,34,2.62,fbc16ae
