date,total,n,mean,median,sd,max,comments,ratio,revision
2013-07-02,128.0,50,2.56,3.0,0.99,5,0,2.56,2f9dcb6
2013-08-03,137.0,55,2.49,3.0,1.02,5,0,2.49,2e53213
2013-10-23,137.0,55,2.49,3.0,1.02,5,0,2.49,17ddaa2
2014-04-28,137.0,55,2.49,3.0,1.02,5,0,2.49,3363041
2014-05-20,106.0,44,2.41,3.0,1.11,5,0,2.41,74c1289
2014-08-19,144.0,60,2.4,3.0,1.06,5,0,2.4,10bee82
2014-09-04,147.0,63,2.33,3.0,1.08,5,0,2.33,9a9c1fc
2014-12-03,161.0,72,2.24,2.5,1.05,5,0,2.24,703a6ca
2015-10-15,169.0,74,2.28,3.0,1.08,5,0,2.28,0ce224f
